loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.6351,6.922084331512451,2.96e-05,0.02666666666666667,10,,,,,,,,,,,,,
2.0932,8.351978302001953,2.92e-05,0.05333333333333334,20,,,,,,,,,,,,,
2.529,6.449283599853516,2.88e-05,0.08,30,,,,,,,,,,,,,
2.1754,6.287175178527832,2.84e-05,0.10666666666666667,40,,,,,,,,,,,,,
2.441,5.742940425872803,2.8e-05,0.13333333333333333,50,,,,,,,,,,,,,
2.2192,5.577761650085449,2.7600000000000003e-05,0.16,60,,,,,,,,,,,,,
2.1971,6.6769795417785645,2.72e-05,0.18666666666666668,70,,,,,,,,,,,,,
2.3553,6.1365532875061035,2.68e-05,0.21333333333333335,80,,,,,,,,,,,,,
2.0539,7.468721866607666,2.64e-05,0.24,90,,,,,,,,,,,,,
2.2982,6.464621067047119,2.6000000000000002e-05,0.26666666666666666,100,,,,,,,,,,,,,
2.0446,5.607102394104004,2.5600000000000002e-05,0.29333333333333333,110,,,,,,,,,,,,,
2.153,6.539363861083984,2.52e-05,0.32,120,,,,,,,,,,,,,
2.4127,5.952061176300049,2.48e-05,0.3466666666666667,130,,,,,,,,,,,,,
2.1557,7.617114067077637,2.44e-05,0.37333333333333335,140,,,,,,,,,,,,,
2.3887,6.4987311363220215,2.4e-05,0.4,150,,,,,,,,,,,,,
2.1781,5.045841217041016,2.3599999999999998e-05,0.4266666666666667,160,,,,,,,,,,,,,
2.4764,6.774288654327393,2.32e-05,0.4533333333333333,170,,,,,,,,,,,,,
2.1972,6.748020172119141,2.2800000000000002e-05,0.48,180,,,,,,,,,,,,,
2.1932,6.140376567840576,2.2400000000000002e-05,0.5066666666666667,190,,,,,,,,,,,,,
2.182,7.097248077392578,2.2e-05,0.5333333333333333,200,,,,,,,,,,,,,
2.3521,7.751749515533447,2.16e-05,0.56,210,,,,,,,,,,,,,
2.3047,6.095120906829834,2.12e-05,0.5866666666666667,220,,,,,,,,,,,,,
2.1756,7.52205753326416,2.08e-05,0.6133333333333333,230,,,,,,,,,,,,,
2.199,6.353137969970703,2.04e-05,0.64,240,,,,,,,,,,,,,
2.1928,6.151362419128418,1.9999999999999998e-05,0.6666666666666666,250,,,,,,,,,,,,,
2.2185,8.182066917419434,1.96e-05,0.6933333333333334,260,,,,,,,,,,,,,
2.3489,6.528559684753418,1.9200000000000003e-05,0.72,270,,,,,,,,,,,,,
2.1401,6.395496845245361,1.8800000000000003e-05,0.7466666666666667,280,,,,,,,,,,,,,
2.0534,6.368470191955566,1.84e-05,0.7733333333333333,290,,,,,,,,,,,,,
2.3015,6.697742462158203,1.8e-05,0.8,300,,,,,,,,,,,,,
2.2992,9.886019706726074,1.76e-05,0.8266666666666667,310,,,,,,,,,,,,,
2.0985,6.609609603881836,1.72e-05,0.8533333333333334,320,,,,,,,,,,,,,
2.2323,6.96636438369751,1.6800000000000002e-05,0.88,330,,,,,,,,,,,,,
2.1698,7.318313121795654,1.64e-05,0.9066666666666666,340,,,,,,,,,,,,,
2.5515,7.199915409088135,1.6e-05,0.9333333333333333,350,,,,,,,,,,,,,
2.2413,6.957918167114258,1.56e-05,0.96,360,,,,,,,,,,,,,
2.204,6.8810296058654785,1.5200000000000002e-05,0.9866666666666667,370,,,,,,,,,,,,,
,,,1.0,375,3.204831838607788,0.4685,0.3182,0.4289,0.4684,23621.3291,0.042,0.021,,,,,
2.032,7.017202854156494,1.48e-05,1.0133333333333334,380,,,,,,,,,,,,,
1.7249,5.438692569732666,1.44e-05,1.04,390,,,,,,,,,,,,,
1.8145,6.175485134124756,1.4e-05,1.0666666666666667,400,,,,,,,,,,,,,
1.8559,6.8661789894104,1.36e-05,1.0933333333333333,410,,,,,,,,,,,,,
1.7385,6.336089134216309,1.32e-05,1.12,420,,,,,,,,,,,,,
1.8052,5.9061384201049805,1.2800000000000001e-05,1.1466666666666667,430,,,,,,,,,,,,,
1.6918,7.545034885406494,1.24e-05,1.1733333333333333,440,,,,,,,,,,,,,
1.6567,5.3384575843811035,1.2e-05,1.2,450,,,,,,,,,,,,,
1.8452,6.94550895690918,1.16e-05,1.2266666666666666,460,,,,,,,,,,,,,
1.9066,7.397358417510986,1.1200000000000001e-05,1.2533333333333334,470,,,,,,,,,,,,,
1.7064,6.186606407165527,1.08e-05,1.28,480,,,,,,,,,,,,,
1.9204,5.745007038116455,1.04e-05,1.3066666666666666,490,,,,,,,,,,,,,
1.8782,5.688543796539307,9.999999999999999e-06,1.3333333333333333,500,,,,,,,,,,,,,
1.8078,6.606878280639648,9.600000000000001e-06,1.3599999999999999,510,,,,,,,,,,,,,
1.8644,6.944732666015625,9.2e-06,1.3866666666666667,520,,,,,,,,,,,,,
1.5442,4.129775047302246,8.8e-06,1.4133333333333333,530,,,,,,,,,,,,,
1.8909,6.851932048797607,8.400000000000001e-06,1.44,540,,,,,,,,,,,,,
1.7653,6.146296977996826,8e-06,1.4666666666666668,550,,,,,,,,,,,,,
1.8002,7.364856719970703,7.600000000000001e-06,1.4933333333333334,560,,,,,,,,,,,,,
1.8033,7.2750349044799805,7.2e-06,1.52,570,,,,,,,,,,,,,
1.7576,6.513479709625244,6.8e-06,1.5466666666666666,580,,,,,,,,,,,,,
1.7161,5.842116355895996,6.4000000000000006e-06,1.5733333333333333,590,,,,,,,,,,,,,
1.576,5.731112480163574,6e-06,1.6,600,,,,,,,,,,,,,
1.8337,5.509836196899414,5.600000000000001e-06,1.6266666666666667,610,,,,,,,,,,,,,
1.8185,6.964885234832764,5.2e-06,1.6533333333333333,620,,,,,,,,,,,,,
1.6877,5.633885383605957,4.800000000000001e-06,1.6800000000000002,630,,,,,,,,,,,,,
1.8955,6.578238010406494,4.4e-06,1.7066666666666666,640,,,,,,,,,,,,,
1.7409,5.935312747955322,4e-06,1.7333333333333334,650,,,,,,,,,,,,,
1.6863,5.295973300933838,3.6e-06,1.76,660,,,,,,,,,,,,,
1.7532,7.296468734741211,3.2000000000000003e-06,1.7866666666666666,670,,,,,,,,,,,,,
1.8934,6.994644641876221,2.8000000000000003e-06,1.8133333333333335,680,,,,,,,,,,,,,
1.8814,5.582093238830566,2.4000000000000003e-06,1.8399999999999999,690,,,,,,,,,,,,,
1.8852,6.844775199890137,2e-06,1.8666666666666667,700,,,,,,,,,,,,,
1.8531,7.776905536651611,1.6000000000000001e-06,1.8933333333333333,710,,,,,,,,,,,,,
1.7675,5.979229927062988,1.2000000000000002e-06,1.92,720,,,,,,,,,,,,,
1.6667,5.331585884094238,8.000000000000001e-07,1.9466666666666668,730,,,,,,,,,,,,,
1.703,5.583378791809082,4.0000000000000003e-07,1.9733333333333334,740,,,,,,,,,,,,,
1.544,6.715128421783447,0.0,2.0,750,,,,,,,,,,,,,
,,,2.0,750,3.2224385738372803,0.4822,0.333,0.4441,0.482,22770.3768,0.044,0.022,,,,,
,,,2.0,750,,,,,,,,,52825.3461,0.114,0.014,2354744629094400.0,2.015653280893962
